scorer,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000
bodyparts,Fiber,Fiber,Fiber,Nose,Nose,Nose,Head,Head,Head,Spine,Spine,Spine,TB,TB,TB,LS,LS,LS,RS,RS,RS
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
24,200.5496216,102.4801483,0.998631895,205.4528351,28.38332558,0.999987721,213.7375183,47.1205368,0.999997139,216.1519623,61.33442307,0.999989271,213.0074463,71.73422241,0.999994755,206.8729401,57.03583527,0.999987364,228.998764,56.42614365,0.999979377
25,198.0146027,102.4801483,0.99979049,205.8655396,28.38332558,0.999990463,213.2381592,47.38698196,0.999997377,214.3424835,61.38450241,0.999993443,211.5147705,72.11428833,0.999997854,204.9979401,57.43020248,0.999981999,228.3844757,57.25882721,0.999987483
26,194.6711121,98.32414246,0.999781787,206.3877258,28.38332558,0.99998641,212.5267334,47.38698196,0.999997854,213.9092865,61.64294052,0.999994159,210.7551575,72.7686615,0.999997854,204.5797424,57.6513176,0.999985099,227.7294312,57.76617432,0.999987841
27,194.0794525,97.12799835,0.99956733,206.3877258,28.52326584,0.999989867,211.6988831,47.38698196,0.999997616,213.9092865,62.55257416,0.999992132,210.5446625,74.29931641,0.999996781,204.5797424,58.33804703,0.999992609,227.4420166,58.67725754,0.999991059
28,194.0794525,97.12799835,0.99956733,206.3877258,28.52326584,0.999989867,211.6988831,47.38698196,0.999997616,213.9092865,62.55257416,0.999992132,210.5446625,74.29931641,0.999996781,204.5797424,58.33804703,0.999992609,227.4420166,58.67725754,0.999991059
29,194.0794525,97.12799835,0.99956733,206.3877258,28.52326584,0.999989867,211.6988831,47.38698196,0.999997616,213.9092865,62.55257416,0.999992132,210.5446625,74.29931641,0.999996781,204.5797424,58.33804703,0.999992609,227.4420166,58.67725754,0.999991059
30,194.0794525,94.95567322,0.988212287,207.3973999,28.59042168,0.99998939,211.6988831,47.97230911,0.999998093,213.2150574,63.79696274,0.99999094,208.3738403,77.27269745,0.999992013,203.1182709,59.05723572,0.999995351,225.7796021,60.7456398,0.999987602
31,194.4581146,83.16516876,0.979266822,209.2757721,29.36530685,0.999988198,211.5351563,49.56065369,0.999997139,211.2928314,67.38401794,0.999998927,208.0853577,81.43198395,0.999997258,201.3566437,60.37034225,0.999993086,223.8132019,64.59655762,0.99999547
32,195.891571,77.05597687,0.952417314,209.2757721,36.91588593,0.999998331,210.4078369,58.61564255,0.999996781,206.357605,77.921875,0.999994874,204.2723083,94.1353302,0.999995947,195.6641693,68.2478714,0.999993086,221.1787567,75.03216553,0.999997377
33,246.0680389,77.05597687,0.804558396,209.8150787,40.26670837,0.999998927,209.4095001,59.5270462,0.999991655,206.2519531,79.46509552,0.999989271,204.2088165,94.50138092,0.999996781,195.6641693,71.93482971,0.99999702,220.9526215,75.05496979,0.999996305
